Nome,CEP,Endereço,Cidade,Estado,Status
"DEMOCRATA COMPONENTES","62053-105","Sem endereço","SOBRAL","","Pendente"
"DENNIS GROUP","01415-002","Sem endereço","SÃO PAULO","","Pendente"
"DEPARTAMENTO DE POLICIA RODOVIARIA FEDERAL","70610-200","Sem endereço","BRASÍLIA","","Pendente"
"DESTRA PROJETOS","61925-330","Sem endereço","MARACANAÚ","","Pendente"
"DI POLY","60821-140","Sem endereço","FORTALEZA","","Pendente"
"DIAGONAL ACO E SERVICOS","60356-392","Sem endereço","FORTALEZA","","Pendente"
"DIAMANTES LINGERIE","62322-240","Sem endereço","TIANGUÁ","","Pendente"
"DIAMANTES LINGERIE","62340-000","Sem endereço","FRECHEIRINHA","","Pendente"
"DICOCO","62685-000","Sem endereço","PARAIPABA","","Pendente"
"DICOCO","56460-000","Sem endereço","PETROLÂNDIA","","Pendente"
"DICOCO ITAPIPOCA FILIAL 02","62500-970","Sem endereço","ITAPIPOCA","","Pendente"
"DIKKA INDUSTRIA QUIMICA LTDA","62140-000","Sem endereço","MASSAPÊ","","Pendente"
"DILADY","60440-110","Sem endereço","FORTALEZA","","Pendente"
"DINJET","61763-830","Sem endereço","EUSÉBIO","","Pendente"
"DIOTEC COMERCIO E MANUTENCAO INDUSTRIAL E HOSPITALAR LTDA","60010-720","Sem endereço","FORTALEZA","","Pendente"
"DISK FRANGO - GLAUCO HELANO BARBOSA PINHEIRO EIRELI","63800-000","Sem endereço","QUIXERAMOBIM","","Pendente"
"DISTRIBUIDORA AURORENSE","61915-060","Sem endereço","MARACANAÚ","","Pendente"
"DLM REFRIGERACAO INDUSTRIAL E COMERCIAL (DANIEL DE OLIVEIRA","57100-000","Sem endereço","RIO LARGO","","Pendente"
"DM CONTABILIDADE","60750-550","Sem endereço","FORTALEZA","","Pendente"
"DM MOVEIS","60545-278","Sem endereço","FORTALEZA","","Pendente"
"DNB SERVICE","40210-750","Sem endereço","SALVADOR","","Pendente"
"DOAL PLASTIC INDUSTRIA E COMERCIO LTDA","62880-001","Sem endereço","HORIZONTE","","Pendente"
"DOCES DANTAS","59114-020","Sem endereço","NATAL","","Pendente"
"DOCILE","55614-027","Sem endereço","VITÓRIA DE SANTO ANTÃO","","Pendente"
"DOKAPACK","55045-035","Sem endereço","CARUARU","","Pendente"
"DOMARCO MÓVEIS","62560-000","Sem endereço","MARCO","","Pendente"
"DOURADO RACOES","61768-840","Sem endereço","EUSÉBIO","","Pendente"
"DRAGAO - INTERLANDIA AL","57160-000","Sem endereço","MARECHAL DEODORO","","Pendente"
"DRAGAO - INTERLANDIA CE","62850-000","Sem endereço","CASCAVEL","","Pendente"
"DRAGAO - INTERLANDIA PE","54400-410","Sem endereço","JABOATÃO DOS GUARARAPES","","Pendente"
"DRAGAO DOS PARAFUSOS","60040-000","Sem endereço","FORTALEZA","","Pendente"
"DRIVE PNEUS","61935-180","Sem endereço","MARACANAÚ","","Pendente"
"DSM PRODUTOS NUTRICIONAIS BRASIL S.A.","62670-000","Sem endereço","SÃO GONÇALO DO AMARANTE","","Pendente"
"DSM PRODUTOS NUTRICIONAIS BRASIL S.A.","18120-000","Sem endereço","MAIRINQUE","","Pendente"
"DUARTE & ALMEIDA LTDA","59607-070","Sem endereço","MOSSORÓ","","Pendente"
"DUCOCO PRODUTOS ALIMENTICIOS S/A","62540-000","Sem endereço","ITAPIPOCA","","Pendente"
"DUFRIO - PE","51160-280","Sem endereço","RECIFE","","Pendente"
"DUFROTA AGROPECUARIA, INDUSTRIA E COMERCIO LTDA","60135-620","Sem endereço","FORTALEZA","","Pendente"
"DUO BLINDAGENS","60860-005","Sem endereço","FORTALEZA","","Pendente"
"DURAMETAL LTDA","61939-180","Sem endereço","MARACANAÚ","","Pendente"
"DURATEX S.A.","54590-000","Sem endereço","CABO DE SANTO AGOSTINHO","","Pendente"
"DV CONFECCOES","60740-788","Sem endereço","FORTALEZA","","Pendente"
"Distribuidora Ponto Do Feijao Ltda","61935-085","Sem endereço","MARACANAÚ","","Pendente"
"EBBA","62800-000","Sem endereço","ARACATI","","Pendente"
"ECO PACK INDUSTRIA DE EMBALAGEM DO NORDESTE LTDA","54705-210","Sem endereço","SÃO LOURENÇO DA MATA","","Pendente"
"ECOFABRIL RECICLAGEM DE PLASTICOS LTDA","13213-009","Sem endereço","JUNDIAÍ","","Pendente"
"ECOMAX","60874-726","Sem endereço","FORTALEZA","","Pendente"
"ECOPOSTO COMERCIO DE DERIVADOS DE PETROLEO E SERVICOS L","60741-600","Sem endereço","FORTALEZA","","Pendente"
"EDENCOCO","02119-000","Sem endereço","SÃO PAULO","","Pendente"
"EDENCOCO COMERCIAL IMPORTADORA E EXPORTADORA LTDA","62685-000","Sem endereço","PARAIPABA","","Pendente"
"EDERBOX (ANTIGA ALLUM ESQUADRIAS)","60335-390","Sem endereço","FORTALEZA","","Pendente"
"EDITORA GRAFICA GRANDE COMUNICACAO","61766-730","Sem endereço","EUSÉBIO","","Pendente"
"EDITORA VERDES MARES LTDA","60135-690","Sem endereço","FORTALEZA","","Pendente"
"EDP - UTE PECÉM","05069-900","Sem endereço","SÃO PAULO","","Pendente"
"EDWARDS VACUO LTDA.","06460-000","Sem endereço","BARUERI","","Pendente"
"EF CONSULTORIA","60821-740","Sem endereço","FORTALEZA","","Pendente"
"EFEGE - ARMAZENAMENTO, TRANSPORTES DE CARGAS E ADMINISTRACAO","60864-520","Sem endereço","FORTALEZA","","Pendente"
"EIM","60822-142","Sem endereço","FORTALEZA","","Pendente"
"EL GALVÃO","60765-242","Sem endereço","FORTALEZA","","Pendente"
"ELETRA ENERGY SOLUTIONS","61888-090","Sem endereço","ITAITINGA","","Pendente"
"ELETRICA RECIFE COMERCIAL LTDA","65030-001","Sem endereço","SÃO LUÍS","","Pendente"
"ELETRO SERV","60711-232","Sem endereço","FORTALEZA","","Pendente"
"ELETROBRAS CGT ELETROSUL","88040-901","Sem endereço","FLORIANÓPOLIS","","Pendente"
"ELETROMECANICA CAPISTRANO","61800-100","Sem endereço","PACATUBA","","Pendente"
"ELETROMESA - INDUSTRIA, COMERCIO E SERVICOS LTDA","59640-660","Sem endereço","MOSSORÓ","","Pendente"
"ELETRONICA E&L","61921-080","Sem endereço","MARACANAÚ","","Pendente"
"ELETROTECNICA","60420-830","Sem endereço","FORTALEZA","","Pendente"
"ELGI COMPRESSORES DO BRASIL IMP. E EXP. LTDA","","Sem endereço","ITUPEVA","","Pendente"
"ELIANE NORDESTE","42800-133","Sem endereço","CAMAÇARI","","Pendente"
"ELIZABETH PORCELANATO LTDA.","58082-050","Sem endereço","JOÃO PESSOA","","Pendente"
"ELIZABETH PORCELANATO S/A","58322-000","Sem endereço","CONDE","","Pendente"
"ELÉTRICA REIS","62880-001","Sem endereço","HORIZONTE","","Pendente"
"EM ENGENHARIA","64035-410","Sem endereço","TERESINA","","Pendente"
"EMAM ASFALTOS LTDA.","61805-895","Sem endereço","PACATUBA","","Pendente"
"EMAM LOGISTICA","61800-100","Sem endereço","PACATUBA","","Pendente"
"EMAPE","62320-000","Sem endereço","TIANGUÁ","","Pendente"
"EMBACEL","62670-000","Sem endereço","SÃO GONÇALO DO AMARANTE","","Pendente"
"EMBACEL - EMBALAGENS CEARA LTDA","62053-105","Sem endereço","SOBRAL","","Pendente"
"EMBRAESTER","52030-252","Sem endereço","RECIFE","","Pendente"
"ENEL","61600-004","Sem endereço","CAUCAIA","","Pendente"
"ENEL DISTRIBUICAO CEARA","60135-040","Sem endereço","FORTALEZA","","Pendente"
"ENERGIA DUCAMPO","62880-001","Sem endereço","HORIZONTE","","Pendente"
"ENERGY ENGENHARIA LTDA","64001-970","Sem endereço","TERESINA","","Pendente"
"ENERX WIND","62670-000","Sem endereço","SÃO GONÇALO DO AMARANTE","","Pendente"
"ENEVA - ITAQUI GERAÇÃO DE ENERGIA","65085-582","Sem endereço","SÃO LUÍS","","Pendente"
"ENEVA S.A.","61690-000","Sem endereço","CAUCAIA","","Pendente"
"ENEVA S.A.","65730-000","Sem endereço","SANTO ANTÔNIO DOS LOPES","","Pendente"
"ENGEFER SOLUCOES INDUSTRIAIS LTDA","60181-712","Sem endereço","FORTALEZA","","Pendente"
"ENGEMEC INSTALACOES INDUSTRIAIS","61761-680","Sem endereço","EUSÉBIO","","Pendente"
"ENGENIUM","60851-190","Sem endereço","FORTALEZA","","Pendente"
"ENGEPETROL LTDA","59623-300","Sem endereço","MOSSORÓ","","Pendente"
"ENGTECNICO","64020-290","Sem endereço","TERESINA","","Pendente"
"EQS ENGENHARIA S.A.","88104-765","Sem endereço","SÃO JOSÉ","","Pendente"
"ERVALIMA ALIMENTOS","61906-090","Sem endereço","MARACANAÚ","","Pendente"
"ESCRITORIO","61948-200","Sem endereço","MARANGUAPE","","Pendente"
"ESCRITORIO DE FORTALEZA","60160-230","Sem endereço","FORTALEZA","","Pendente"
"ESPACIAL METAL METALURGICA LTDA","61605-600","Sem endereço","CAUCAIA","","Pendente"
"ESPLENDIDA CALCADOS","63045-015","Sem endereço","JUAZEIRO DO NORTE","","Pendente"
"ESTIVAS - RN","59170-000","Sem endereço","ARÊS","","Pendente"
"ESTOFADOS AGUIA","62560-000","Sem endereço","MARCO","","Pendente"
"ESTRELA BRITAGEM E PREMOLDADOS LTDA","61880-000","Sem endereço","ITAITINGA","","Pendente"
"ESTRUTURA PLASTICA","61915-060","Sem endereço","MARACANAÚ","","Pendente"
"ESTRUTURAL","60431-082","Sem endereço","FORTALEZA","","Pendente"
"EUROSONO","60150-162","Sem endereço","FORTALEZA","","Pendente"
"EUSEBIO COMERCIO DE TUBOS PLASTICOS LTDA","61760-000","Sem endereço","EUSÉBIO","","Pendente"
"EVA BRASIL","63035-215","Sem endereço","JUAZEIRO DO NORTE","","Pendente"
"EVAPLAST","63024-515","Sem endereço","JUAZEIRO DO NORTE","","Pendente"
"EVER GREEN DO NORDESTE INDUSTRIA E COMERCIO LTDA","61906-010","Sem endereço","MARACANAÚ","","Pendente"
"EVOLUCAO COMERCIO DE COMPRESSORES E EQUIPAMENTOS LTDA","89288-150","Sem endereço","SÃO BENTO DO SUL","","Pendente"
"EVORAMETAL - METALOMECANICA LTDA","61760-000","Sem endereço","EUSÉBIO","","Pendente"
"EXACTUS AUTOMACAO E TECNOLOGIA","60765-242","Sem endereço","FORTALEZA","","Pendente"
"EXCIMER TECNOLOGIA","71956-180","Sem endereço","BRASÍLIA","","Pendente"
"EXPRESSAO GRAFICA E EDITORA","60110-301","Sem endereço","FORTALEZA","","Pendente"
"EXR ENGENHARIA","60810-670","Sem endereço","FORTALEZA","","Pendente"
"EXTREMA","60175-057","Sem endereço","FORTALEZA","","Pendente"
"Ebba ","62800-000","Sem endereço","ARACATI","","Pendente"
"Engeplast","60862-715","Sem endereço","FORTALEZA","","Pendente"
"Esmaltec","61939-120","Sem endereço","MARACANAÚ","","Pendente"
"F ESPEDITO VASCONCELOS","62560-000","Sem endereço","MARCO","","Pendente"
"F F PEREIRA PRODUTOS INDUSTRIAIS LTDA","24800-001","Sem endereço","ITABORAÍ","","Pendente"
"F J DA SILVA LIMA METALURGICA","62880-001","Sem endereço","HORIZONTE","","Pendente"
"F V COSTA FILHO ME","63700-000","Sem endereço","CRATEÚS","","Pendente"
"F. C. OLIVEIRA & CIA. LTDA","65400-000","Sem endereço","CODÓ","","Pendente"
"F. R. SERVICOS ESPECIALIZADOS LTDA","62010-820","Sem endereço","SOBRAL","","Pendente"
"F. SOUTO SAL S.A.","59655-000","Sem endereço","AREIA BRANCA","","Pendente"
"FABRICA DE REDES ISAAC LTDA","60741-595","Sem endereço","FORTALEZA","","Pendente"
"FABRICAL FABRICA DE CAL SA","62920-000","Sem endereço","QUIXERÉ","","Pendente"
"FACCHINI","61700-000","Sem endereço","AQUIRAZ","","Pendente"
"FACEPA","61939-000","Sem endereço","MARACANAÚ","","Pendente"
"FAE SISTEMAS DE MEDIÇÃO","60871-201","Sem endereço","FORTALEZA","","Pendente"
"FARMACE - INDUSTRIA QUIMICO-FARMACEUTICA CEARENSE LTDA","63180-000","Sem endereço","BARBALHA","","Pendente"
"FAST INOX","61939-150","Sem endereço","MARACANAÚ","","Pendente"
"FAST INOX (FAST STEEL)","61939-000","Sem endereço","MARACANAÚ","","Pendente"
"FATTORE INDUSTRIA DE COSMETICOS EIRELI ME","61760-000","Sem endereço","EUSÉBIO","","Pendente"
"FAZAUTO FORTALEZA AUTOMOTORES LTDA","60140-035","Sem endereço","FORTALEZA","","Pendente"
"FCA FIAT CHRYSLER AUTOMOVEIS BRASIL LTDA (JEEP)","55900-000","Sem endereço","GOIANA","","Pendente"
"FEIJAO TIO MARCIO","60732-543","Sem endereço","FORTALEZA","","Pendente"
"FELIANA ALIMENTOS LTDA","63917-000","Sem endereço","QUIXADÁ","","Pendente"
"FELIPE  F","61922-165","Sem endereço","MARACANAÚ","","Pendente"
"FEMINIZE LINGERIE","61943-470","Sem endereço","MARANGUAPE","","Pendente"
"FENIX ESTOFADOS","62560-000","Sem endereço","MARCO","","Pendente"
"FENIX INDUSTRIA E COMERCIO DE REBOQUES E KIDPLAY LTDA","61600-545","Sem endereço","CAUCAIA","","Pendente"
"FERLAN EQUIPAMENTOS, FERRAMENTAS E MAQUINAS EM GERAL LTDA","32450-000","Sem endereço","SARZEDO","","Pendente"
"FERNAMEC","58307-560","Sem endereço","BAYEUX","","Pendente"
"FERRATEC","61939-020","Sem endereço","MARACANAÚ","","Pendente"
"FERREIRA MOVEIS","62010-720","Sem endereço","SOBRAL","","Pendente"
"FERRO VELHO DO COMPRESSOR","89220-865","Sem endereço","JOINVILLE","","Pendente"
"FERRONORTE INDUSTRIAL LTDA","64038-100","Sem endereço","TERESINA","","Pendente"
"FERRONORTE INDUSTRIAL SAO LUIS","65095-603","Sem endereço","SÃO LUÍS","","Pendente"
"FERRONORTE SÃO LUÍS- MA","65095-601","Sem endereço","SÃO LUÍS","","Pendente"
"FERTILIZANTES TOCANTINS","65095-604","Sem endereço","SÃO LUÍS","","Pendente"
"FF INDUSTRIA E COMERCIO DE PAPEIS LTDA","61766-830","Sem endereço","EUSÉBIO","","Pendente"
"FIABESA GUARARAPES S/A","54335-000","Sem endereço","JABOATÃO DOS GUARARAPES","","Pendente"
"FIBRA COMERCIO E INDUSTRIA DE ALIMENTOS E TRANSPORTES LTDA","60864-255","Sem endereço","FORTALEZA","","Pendente"
"FIBRASA S.A.","53520-015","Sem endereço","ABREU E LIMA","","Pendente"
"FILADELFIA ALIMENTOS LTDA","59649-899","Sem endereço","MOSSORÓ","","Pendente"
"FILATI MALHAS","61939-180","Sem endereço","MARACANAÚ","","Pendente"
"FILIAL AQUIRAZ","61700-000","Sem endereço","AQUIRAZ","","Pendente"
"FILIAL GRANDE MOINHO POTIGUAR","59010-700","Sem endereço","NATAL","","Pendente"
"FILIAL GRANDE MOINHO TAMBAU","58100-100","Sem endereço","CABEDELO","","Pendente"
"FILIAL LENCOIS PAULISTA","18682-901","Sem endereço","LENÇÓIS PAULISTA","","Pendente"
"FILIAL MACEIO ALAGOAS","57046-140","Sem endereço","MACEIÓ","","Pendente"
"FILIAL MADUREIRA PIRAQUE","21540-000","Sem endereço","RIO DE JANEIRO","","Pendente"
"FILIAL MARANHAO","65095-603","Sem endereço","SÃO LUÍS","","Pendente"
"FILIAL MOINHO DIAS BRANCO","60180-415","Sem endereço","FORTALEZA","","Pendente"
"FILIAL SAO PAULO","09530-050","Sem endereço","SÃO CAETANO DO SUL","","Pendente"
"FILIAL VITARELLA","54335-000","Sem endereço","JABOATÃO DOS GUARARAPES","","Pendente"
"FIMATEX","60331-100","Sem endereço","FORTALEZA","","Pendente"
"FINEZZI","61650-000","Sem endereço","CAUCAIA","","Pendente"
"FIOCRUZ CEARA","61760-000","Sem endereço","EUSÉBIO","","Pendente"
"FIOTEX INDUSTRIAL S A","60150-165","Sem endereço","FORTALEZA","","Pendente"
"FIPEL - FRIGORIFICO INDUSTRIAL PERNAMBUCANO LTDA","53620-856","Sem endereço","IGARASSU","","Pendente"
"FITAS ELASTICAS ESTRELA DO NORDESTE LTDA","61939-120","Sem endereço","MARACANAÚ","","Pendente"
"FIUZA METAL","60864-310","Sem endereço","FORTALEZA","","Pendente"
"FIVELTEC INDUSTRIA DE METAIS LTDA","60170-078","Sem endereço","FORTALEZA","","Pendente"
"FLOEMA INDUSTRIA DE PRODUTOS NATURAIS LTDA - Nectar Floral","61700-000","Sem endereço","AQUIRAZ","","Pendente"
"FLOR MORENA JEANS","62882-070","Sem endereço","HORIZONTE","","Pendente"
"FLORAGUA INDUSTRIA E COMERCIO DE AGUAS MINERAIS LTDA","62670-000","Sem endereço","SÃO GONÇALO DO AMARANTE","","Pendente"
"FONCEPI","60865-400","Sem endereço","FORTALEZA","","Pendente"
"FONCEPI","64260-000","Sem endereço","PIRIPIRI","","Pendente"
"FORBRAX INDUSTRIA E COMERCIO DE ESPUMAS E PLASTICOS LTDA. (I","62790-000","Sem endereço","REDENÇÃO","","Pendente"
"FORD MOTOR COMPANY BRASIL LTDA","62880-001","Sem endereço","HORIZONTE","","Pendente"
"FORMETAIS","61880-000","Sem endereço","ITAITINGA","","Pendente"
"FORMILINE INDUSTRIA DE LAMINADOS LTDA","60850-012","Sem endereço","FORTALEZA","","Pendente"
"FORNECEDORA CAMINHOES","61880-000","Sem endereço","ITAITINGA","","Pendente"
"FORPACK EMBALAGENS GUAIUBA","61890-000","Sem endereço","GUAIUBA","","Pendente"
"FORPACK INDUSTRIA E COMERCIO DE EMBALAGENS","61934-000","Sem endereço","MARACANAÚ","","Pendente"
"FORPAN","60720-640","Sem endereço","FORTALEZA","","Pendente"
"FORPLAST INDUSTRIA E COMERCIO DE PLASTICOS LTDA","61922-170","Sem endereço","MARACANAÚ","","Pendente"
"FORT METALICA","60864-311","Sem endereço","FORTALEZA","","Pendente"
"FORT SEAL - INDUSTRIA E COMERCIO DE ELASTOMEROS LTDA","61768-310","Sem endereço","EUSÉBIO","","Pendente"
"FORT TUDO","60020-030","Sem endereço","FORTALEZA","","Pendente"
"FORTAL CHURRASQUEIRAS","60534-090","Sem endereço","FORTALEZA","","Pendente"
"FORTALAVE","60541-190","Sem endereço","FORTALEZA","","Pendente"
"FORTALEZA BOMBONIERE","57017-050","Sem endereço","MACEIÓ","","Pendente"
"FORTALEZA PNEUMATICA","60862-590","Sem endereço","FORTALEZA","","Pendente"
"FORTALEZA SHIP SERVICES LTDA","60165-270","Sem endereço","FORTALEZA","","Pendente"
"FORTALPLAST - INDUSTRIA DE PLASTICOS LTDA","61949-210","Sem endereço","MARANGUAPE","","Pendente"
"FORTALTEC","63011-070","Sem endereço","JUAZEIRO DO NORTE","","Pendente"
"FORTBYTE ELETRONICA LTDA","60416-392","Sem endereço","FORTALEZA","","Pendente"
"FORTCOLOR","61890-000","Sem endereço","GUAIUBA","","Pendente"
"FORTE CACAMBAS INDUSTRIA DE EQUIPAMENTOS AUTOMOTIVOS LTDA","61935-180","Sem endereço","MARACANAÚ","","Pendente"
"FORTEX INDUSTRIA QUIMICA LTDA","61930-220","Sem endereço","MARACANAÚ","","Pendente"
"FORTILINE","61939-080","Sem endereço","MARACANAÚ","","Pendente"
"FOSFATEC","60730-088","Sem endereço","FORTALEZA","","Pendente"
"FOSFATEC CURRAL","60730-085","Sem endereço","FORTALEZA","","Pendente"
"FOSFATEC INDUSTRIA E COMERCIO LTDA","61922-050","Sem endereço","MARACANAÚ","","Pendente"
"FRANCISCO PLACIDO OLIVEIRA GERMANO","","Sem endereço","FORTALEZA","","Pendente"
"FRANCISCO ROGILDO VASCONCELOS","60340-005","Sem endereço","FORTALEZA","","Pendente"
"FRESENIUS KABI BRASIL LTDA.","61700-000","Sem endereço","AQUIRAZ","","Pendente"
"FRESENIUS KABI BRASIL LTDA.","06460-200","Sem endereço","BARUERI","","Pendente"
"FREVO BRASIL INDUSTRIA DE BEBIDAS LTDA","61900-000","Sem endereço","MARACANAÚ","","Pendente"
"FRICON","53420-140","Sem endereço","PAULISTA","","Pendente"
"FRIELLA","85877-000","Sem endereço","SÃO MIGUEL DO IGUAÇU","","Pendente"
"FRISBEL","32670-575","Sem endereço","BETIM","","Pendente"
"FROSTY","61939-000","Sem endereço","MARACANAÚ","","Pendente"
"FRUT BISS","61939-070","Sem endereço","MARACANAÚ","","Pendente"
"FRUTA PLUSS","52170-000","Sem endereço","RECIFE","","Pendente"
"FRUTAS CEARENSES","60526-395","Sem endereço","FORTALEZA","","Pendente"
"FRUTBISS","61939-070","Sem endereço","MARACANAÚ","","Pendente"
"FRUTBISS","61939-070","Sem endereço","MARACANAÚ","","Pendente"
"FS BIOENERGIA","78890-000","Sem endereço","SORRISO","","Pendente"
"FS I INDUSTRIA DE ETANOL S.A","78850-000","Sem endereço","PRIMAVERA DO LESTE","","Pendente"
"FTL","60335-195","Sem endereço","FORTALEZA","","Pendente"
"FUNCEME","60115-221","Sem endereço","FORTALEZA","","Pendente"
"FUNDACAO ASTEF","60455-900","Sem endereço","FORTALEZA","","Pendente"
"FUNDACAO EDSON QUEIROZ","60811-341","Sem endereço","FORTALEZA","","Pendente"
"FUNDACAO LEANDRO BEZERRA","63050-270","Sem endereço","JUAZEIRO DO NORTE","","Pendente"
"FUNDACAO OTILIA CORREIA SARAIVA","63180-000","Sem endereço","BARBALHA","","Pendente"
"FUNDACAO STEMMER PARA PESQUISA, DESENV. E INOVACAO","88040-370","Sem endereço","FLORIANÓPOLIS","","Pendente"
"FUNDACAO UNIVERSIDADE DO AMAZONAS","69077-000","Sem endereço","MANAUS","","Pendente"
"FUNDASUL ENGENHARIA DE FUNDACOES LTDA","88010-090","Sem endereço","FLORIANÓPOLIS","","Pendente"
"FUNDO MUNICIPAL DE SAUDE DE CASCAVEL","62850-000","Sem endereço","CASCAVEL","","Pendente"
"FURNAS - USINA HIDRELETRICA DE MARIMBONDO","38230-000","Sem endereço","FRONTEIRA","","Pendente"
"FURNAS - USINA HIDRELETRICA DE MASCARENHAS DE MORAES","37990-000","Sem endereço","IBIRACI","","Pendente"
"FYBER FABRICACAO DE VEICULOS AUTOMOTORES EIRELI","62680-000","Sem endereço","PARACURU","","Pendente"
"FZP PLAST","52060-490","Sem endereço","RECIFE","","Pendente"
"Fabrica Coelho","62040-610","Sem endereço","SOBRAL","","Pendente"
"Fgs Ar Condicionado","60543-365","Sem endereço","FORTALEZA","","Pendente"
"Francisco Gleyre Veras  Silva","61603-020","Sem endereço","CAUCAIA","","Pendente"
"G & K PLASTICOS","61760-000","Sem endereço","EUSÉBIO","","Pendente"
"G STUDIO","61650-005","Sem endereço","CAUCAIA","","Pendente"
"G-WIND SOLUCOES EOLICAS LTDA","18147-000","Sem endereço","ARAÇARIGUAMA","","Pendente"
"G. PLASTIC","63017-050","Sem endereço","JUAZEIRO DO NORTE","","Pendente"
"G.I INDUSTRIA DE PRODUTOS DE PROTECAO LTDA","60841-475","Sem endereço","FORTALEZA","","Pendente"
"G91 NORDESTE CONFECCOES","62970-000","Sem endereço","ALTO SANTO","","Pendente"
"GADANI","60710-780","Sem endereço","FORTALEZA","","Pendente"
"GAIATEC COMERCIO E SERVICOS DE AUTOMACAO E SISTEMA DO BRASIL LTDA","02188-040","Sem endereço","SÃO PAULO","","Pendente"
"GANT'+Chr(39)+'S INDUSTRIA E COMERCIO DE ROUPAS LTDA","03013-000","Sem endereço","SÃO PAULO","","Pendente"
"GARAGEM VIP","60861-211","Sem endereço","FORTALEZA","","Pendente"
"GASIL","51170-600","Sem endereço","RECIFE","","Pendente"
"GASTROCLINICA","60150-162","Sem endereço","FORTALEZA","","Pendente"
"GE INDUSTRIAL COMERCIO IMPORTAÇÃO E EXPORTAÇÃO LTDA - PONTAL","64078-735","Sem endereço","TERESINA","","Pendente"
"GEM CONSERVAS","04286-130","Sem endereço","SÃO PAULO","","Pendente"
"GEO SILOS INDUSTRIA E COMERCIO LTDA","14806-500","Sem endereço","ARARAQUARA","","Pendente"
"GEOVANE METAIS","61650-005","Sem endereço","CAUCAIA","","Pendente"
"GEPLE SERVICOS","29970-000","Sem endereço","PEDRO CANÁRIO","","Pendente"
"GERARDO BASTOS PNEUS E PECAS LTDA","60015-060","Sem endereço","FORTALEZA","","Pendente"
"GERARDO'+Chr(39)+'+Chr(39)+'+Chr(39)+'+Chr(39)+'+Chr(39)+'+Chr(39)+'+Chr(39)+'S DISTRIBUIDORA LTDA","60534-090","Sem endereço","FORTALEZA","","Pendente"
"GERARDOS DISTRIBUIDORA LTDA ( CENTERBOX )","61921-525","Sem endereço","FORTALEZA","","Pendente"
"GERDAU","36497-899","Sem endereço","OURO BRANCO","","Pendente"
"GERDAU ACOS LONGOS S.A.","50950-000","Sem endereço","RECIFE","","Pendente"
"GERDAU ACOS LONGOS S.A.","35500-450","Sem endereço","DIVINÓPOLIS","","Pendente"
"GERDAU CAUCAIA","61690-000","Sem endereço","CAUCAIA","","Pendente"
"GERDAU SC - MARACANAU","61939-120","Sem endereço","MARACANAÚ","","Pendente"
"GG AVIAMENTOS","60410-462","Sem endereço","FORTALEZA","","Pendente"
"GILIARDE GUEDES ALENCAR","","Sem endereço","FORTALEZA","","Pendente"
"GLAUBIANE ARAUJO MAGALHAES","60730-230","Sem endereço","FORTALEZA","","Pendente"
"GLEUTON  NOGUEIRA","61925-215","Sem endereço","MARACANAÚ","","Pendente"
"GLOBAL EMBALAGENS BIO LTDA","60541-706","Sem endereço","FORTALEZA","","Pendente"
"GLOBAL PET CEARA","61890-000","Sem endereço","GUAIUBA","","Pendente"
"GLOBAL SERVICE","08559-470","Sem endereço","POÁ","","Pendente"
"GLOBAL TECH SUPRIMENTOS","49015-160","Sem endereço","ARACAJU","","Pendente"
"GLOBAL UNION BARBALHA","63180-000","Sem endereço","BARBALHA","","Pendente"
"GLOBALPACK DO NORDESTE INDUST. E COMERCI - RIOPET","61939-170","Sem endereço","MARACANAÚ","","Pendente"
"GLOBEST PARTICIPACOES LTDA","63650-000","Sem endereço","QUITERIANÓPOLIS","","Pendente"
"GM5 INDUSTRIA E COMERCIO DE TUBOS LTDA","54410-240","Sem endereço","JABOATÃO DOS GUARARAPES","","Pendente"
"GNC SUECIA COMERCIO DE VEICULOS LTDA","60810-475","Sem endereço","FORTALEZA","","Pendente"
"GOLDMIX M & S COMERCIO DE ARTIGOS DE OPTICA LTDA","60035-000","Sem endereço","FORTALEZA","","Pendente"
"GOLF SHIP SOLUTIONS","60822-470","Sem endereço","FORTALEZA","","Pendente"
"GOMA FRESCA PINHEIRO (em RJ)","61880-000","Sem endereço","ITAITINGA","","Pendente"
"GONDOLAS CONFIANCA","61939-130","Sem endereço","MARACANAÚ","","Pendente"
"GRA ROLAMENTOS E SUPRIMENTOS INDUSTRIAIS","03387-010","Sem endereço","SÃO PAULO","","Pendente"
"GRAFICA CEARENSE","61760-000","Sem endereço","EUSÉBIO","","Pendente"
"GRAFICA J B LTDA","58020-540","Sem endereço","JOÃO PESSOA","","Pendente"
"GRAFICA MINERVA","60015-051","Sem endereço","FORTALEZA","","Pendente"
"GRAFICA NOSSA SENHORA DE FATIMA","61600-004","Sem endereço","CAUCAIA","","Pendente"
"GRAFICA SANTA MARTA","58081-400","Sem endereço","JOÃO PESSOA","","Pendente"
"GRAN SERVICES S.A.","27963-506","Sem endereço","MACAÉ","","Pendente"
"GRANDE COREIA","60841-032","Sem endereço","FORTALEZA","","Pendente"
"GRANDE COREIA","60810-001","Sem endereço","FORTALEZA","","Pendente"
"GRANDE MOINHO ARATU","40800-168","Sem endereço","SALVADOR","","Pendente"
"GRANDE MOINHO CEARENSE SA","60180-410","Sem endereço","FORTALEZA","","Pendente"
"GRANFER","58102-660","Sem endereço","CABEDELO","","Pendente"
